date,change,changeOverTime,changePercent,close,high,label,low,open,symbol,uClose,uHigh,uLow,uOpen,uVolume,volume
2015-04-14,0.0,0.0,0.0,126.3,127.29,"Apr 14, 15",125.91,127.0,AAPL,126.3,127.29,125.91,127.0,25524593,25524593
2015-04-15,0.48,0.0038,0.38,126.78,127.13,"Apr 15, 15",126.01,126.41,AAPL,126.78,127.13,126.01,126.41,28970419,28970419
2015-04-16,-0.61,-0.001029,-0.4811,126.17,127.1,"Apr 16, 15",126.11,126.28,AAPL,126.17,127.1,126.11,126.28,28368987,28368987
2015-04-17,-1.42,-0.012272,-1.1255,124.75,126.14,"Apr 17, 15",124.46,125.55,AAPL,124.75,126.14,124.46,125.55,51957046,51957046
2015-04-20,2.85,0.010293,2.2846,127.6,128.12,"Apr 20, 15",125.17,125.57,AAPL,127.6,128.12,125.17,125.57,47054310,47054310
2015-04-21,-0.69,0.00483,-0.5408,126.91,128.2,"Apr 21, 15",126.67,128.1,AAPL,126.91,128.2,126.67,128.1,32435057,32435057
2015-04-22,1.71,0.018369,1.3474,128.62,128.87,"Apr 22, 15",126.32,126.99,AAPL,128.62,128.87,126.32,126.99,37654505,37654505
2015-04-23,1.05,0.026683,0.8164,129.67,130.42,"Apr 23, 15",128.14,128.3,AAPL,129.67,130.42,128.14,128.3,45770902,45770902
2015-04-24,0.61,0.031512,0.4704,130.28,130.63,"Apr 24, 15",129.23,130.49,AAPL,130.28,130.63,129.23,130.49,44525905,44525905
2015-04-27,2.37,0.050277,1.8192,132.65,133.13,"Apr 27, 15",131.15,132.31,AAPL,132.65,133.13,131.15,132.31,96954207,96954207
2015-04-28,-2.09,0.033729,-1.5756,130.56,134.54,"Apr 28, 15",129.57,134.46,AAPL,130.56,134.54,129.57,134.46,118923970,118923970
2015-04-29,-1.92,0.018527,-1.4706,128.64,131.59,"Apr 29, 15",128.3,130.16,AAPL,128.64,131.59,128.3,130.16,63386083,63386083
2015-04-30,-3.49,-0.009105,-2.713,125.15,127.88,"Apr 30, 15",124.58,127.5,AAPL,125.15,127.88,124.58,127.5,83195423,83195423
2015-05-01,3.8,0.020982,3.0364,128.95,130.13,"May 1, 15",125.3,126.1,AAPL,128.95,130.13,125.3,126.1,58512638,58512638
2015-05-04,-0.25,0.019002,-0.1939,128.7,130.57,"May 4, 15",128.26,129.5,AAPL,128.7,130.57,128.26,129.5,50988278,50988278
2015-05-05,-2.9,-0.003959,-2.2533,125.8,128.45,"May 5, 15",125.78,128.15,AAPL,125.8,128.45,125.78,128.15,49271416,49271416
2015-05-06,-0.79,-0.010214,-0.628,125.01,126.75,"May 6, 15",123.36,126.56,AAPL,125.01,126.75,123.36,126.56,72141010,72141010
2015-05-07,0.25,-0.008234,0.2,125.26,126.08,"May 7, 15",124.02,124.77,AAPL,125.26,126.08,124.02,124.77,43940895,43940895
2015-05-08,2.36,0.010451,1.8841,127.62,127.62,"May 8, 15",126.11,126.68,AAPL,127.62,127.62,126.11,126.68,55550382,55550382
2015-05-11,-1.3,0.000158,-1.0186,126.32,127.56,"May 11, 15",125.63,127.39,AAPL,126.32,127.56,125.63,127.39,42035757,42035757
2015-05-12,-0.455,-0.003444,-0.3602,125.87,126.88,"May 12, 15",124.82,125.6,AAPL,125.87,126.88,124.82,125.6,48160032,48160032
2015-05-13,0.145,-0.002296,0.1152,126.01,127.19,"May 13, 15",125.87,126.15,AAPL,126.01,127.19,125.87,126.15,34694235,34694235
2015-05-14,2.94,0.020982,2.3331,128.95,128.95,"May 14, 15",127.16,127.41,AAPL,128.95,128.95,127.16,127.41,45203456,45203456
2015-05-15,-0.18,0.019557,-0.1396,128.77,129.49,"May 15, 15",128.21,129.07,AAPL,128.77,129.49,128.21,129.07,38208034,38208034
2015-05-18,1.42,0.0308,1.1027,130.19,130.72,"May 18, 15",128.36,128.38,AAPL,130.19,130.72,128.36,128.38,50882918,50882918
2015-05-19,-0.12,0.02985,-0.0922,130.07,130.88,"May 19, 15",129.64,130.69,AAPL,130.07,130.88,129.64,130.69,44633240,44633240
2015-05-20,-0.01,0.02977,-0.0077,130.06,130.98,"May 20, 15",129.34,130.0,AAPL,130.06,130.98,129.34,130.0,36454932,36454932
2015-05-21,1.33,0.040301,1.0226,131.39,131.63,"May 21, 15",129.83,130.07,AAPL,131.39,131.63,129.83,130.07,39730364,39730364
2015-05-22,1.15,0.049406,0.8753,132.54,132.97,"May 22, 15",131.4,131.6,AAPL,132.54,132.97,131.4,131.6,45595972,45595972
2015-05-26,-2.92,0.026287,-2.2031,129.62,132.91,"May 26, 15",129.12,132.6,AAPL,129.62,132.91,129.12,132.6,70697560,70697560
2015-05-27,2.42,0.045487,1.8709,132.04,132.26,"May 27, 15",130.05,130.34,AAPL,132.04,132.26,130.05,130.34,45833246,45833246
2015-05-28,-0.265,0.043389,-0.2007,131.78,131.95,"May 28, 15",131.1,131.86,AAPL,131.78,131.95,131.1,131.86,30733309,30733309
2015-05-29,-1.5,0.031512,-1.1383,130.28,131.45,"May 29, 15",129.9,131.23,AAPL,130.28,131.45,129.9,131.23,50884452,50884452
2015-06-01,0.255,0.033531,0.1957,130.54,131.39,"Jun 1, 15",130.05,131.2,AAPL,130.54,131.39,130.05,131.2,32112797,32112797
2015-06-02,-0.575,0.028979,-0.4405,129.96,130.66,"Jun 2, 15",129.32,129.86,AAPL,129.96,130.66,129.32,129.86,33667627,33667627
2015-06-03,0.16,0.030245,0.1231,130.12,130.94,"Jun 3, 15",129.9,130.66,AAPL,130.12,130.94,129.9,130.66,30983542,30983542
2015-06-04,-0.76,0.024228,-0.5841,129.36,130.58,"Jun 4, 15",128.91,129.58,AAPL,129.36,130.58,128.91,129.58,38450118,38450118
2015-06-05,-0.71,0.018606,-0.5489,128.65,129.69,"Jun 5, 15",128.36,129.5,AAPL,128.65,129.69,128.36,129.5,35626800,35626800
2015-06-08,-0.85,0.011876,-0.6607,127.8,129.21,"Jun 8, 15",126.83,128.9,AAPL,127.8,129.21,126.83,128.9,52674786,52674786
2015-06-09,-0.38,0.008868,-0.2973,127.42,128.08,"Jun 9, 15",125.62,126.7,AAPL,127.42,128.08,125.62,126.7,56075420,56075420
2015-06-10,1.46,0.020428,1.1458,128.88,129.34,"Jun 10, 15",127.85,127.92,AAPL,128.88,129.34,127.85,127.92,39087250,39087250
2015-06-11,-0.29,0.018131,-0.225,128.59,130.18,"Jun 11, 15",128.48,129.18,AAPL,128.59,130.18,128.48,129.18,35390887,35390887
2015-06-12,-1.42,0.006888,-1.1043,127.17,128.33,"Jun 12, 15",127.11,128.19,AAPL,127.17,128.33,127.11,128.19,36886246,36886246
2015-06-15,-0.25,0.004909,-0.1966,126.92,127.24,"Jun 15, 15",125.71,126.1,AAPL,126.92,127.24,125.71,126.1,43988946,43988946
2015-06-16,0.68,0.010293,0.5358,127.6,127.85,"Jun 16, 15",126.37,127.03,AAPL,127.6,127.85,126.37,127.03,31494131,31494131
2015-06-17,-0.3,0.007918,-0.2351,127.3,127.88,"Jun 17, 15",126.74,127.72,AAPL,127.3,127.88,126.74,127.72,32918071,32918071
2015-06-18,0.58,0.01251,0.4556,127.88,128.31,"Jun 18, 15",127.22,127.23,AAPL,127.88,128.31,127.22,127.23,35407220,35407220
2015-06-19,-1.28,0.002375,-1.0009,126.6,127.82,"Jun 19, 15",126.4,127.71,AAPL,126.6,127.82,126.4,127.71,54716887,54716887
2015-06-22,1.01,0.010372,0.7978,127.61,128.06,"Jun 22, 15",127.08,127.49,AAPL,127.61,128.06,127.08,127.49,34039345,34039345
2015-06-23,-0.58,0.00578,-0.4545,127.03,127.61,"Jun 23, 15",126.88,127.48,AAPL,127.03,127.61,126.88,127.48,30268863,30268863
2015-06-24,1.08,0.014331,0.8502,128.11,129.8,"Jun 24, 15",127.12,127.21,AAPL,128.11,129.8,127.12,127.21,55280855,55280855
2015-06-25,-0.61,0.009501,-0.4762,127.5,129.2,"Jun 25, 15",127.5,128.86,AAPL,127.5,129.2,127.5,128.86,31938100,31938100
2015-06-26,-0.75,0.003563,-0.5882,126.75,127.99,"Jun 26, 15",126.51,127.67,AAPL,126.75,127.99,126.51,127.67,44066841,44066841
2015-06-29,-2.22,-0.014014,-1.7515,124.53,126.47,"Jun 29, 15",124.48,125.46,AAPL,124.53,126.47,124.48,125.46,49161427,49161427
2015-06-30,0.895,-0.006928,0.7187,125.43,126.12,"Jun 30, 15",124.86,125.57,AAPL,125.43,126.12,124.86,125.57,44370682,44370682
2015-07-01,1.18,0.002375,0.9368,126.6,126.94,"Jul 1, 15",125.99,126.9,AAPL,126.6,126.94,125.99,126.9,30238811,30238811
2015-07-02,-0.16,0.001108,-0.1264,126.44,126.69,"Jul 2, 15",125.77,126.43,AAPL,126.44,126.69,125.77,126.43,27210952,27210952
2015-07-06,-0.44,-0.002375,-0.348,126.0,126.23,"Jul 6, 15",124.85,124.94,AAPL,126.0,126.23,124.85,124.94,28060431,28060431
2015-07-07,-0.31,-0.00483,-0.246,125.69,126.15,"Jul 7, 15",123.77,125.89,AAPL,125.69,126.15,123.77,125.89,46946811,46946811
2015-07-08,-3.12,-0.029533,-2.4823,122.57,124.64,"Jul 8, 15",122.54,124.48,AAPL,122.57,124.64,122.54,124.48,60761614,60761614
2015-07-09,-2.5,-0.049327,-2.0397,120.07,124.06,"Jul 9, 15",119.22,123.85,AAPL,120.07,124.06,119.22,123.85,78595038,78595038
2015-07-10,3.21,-0.023911,2.6734,123.28,123.85,"Jul 10, 15",121.21,121.94,AAPL,123.28,123.85,121.21,121.94,61354474,61354474
2015-07-13,2.38,-0.005067,1.9306,125.66,125.76,"Jul 13, 15",124.32,125.03,AAPL,125.66,125.76,124.32,125.03,41440538,41440538
2015-07-14,-0.05,-0.005463,-0.0398,125.61,126.37,"Jul 14, 15",125.04,126.04,AAPL,125.61,126.37,125.04,126.04,31768139,31768139
2015-07-15,1.21,0.004117,0.9633,126.82,127.15,"Jul 15, 15",125.58,125.72,AAPL,126.82,127.15,125.58,125.72,33649200,33649200
2015-07-16,1.69,0.017498,1.3326,128.51,128.57,"Jul 16, 15",127.35,127.74,AAPL,128.51,128.57,127.35,127.74,36222447,36222447
2015-07-17,1.11,0.026287,0.8637,129.62,129.62,"Jul 17, 15",128.31,129.08,AAPL,129.62,129.62,128.31,129.08,46164710,46164710
2015-07-20,2.45,0.045685,1.8901,132.07,132.97,"Jul 20, 15",130.7,130.97,AAPL,132.07,132.97,130.7,130.97,58900203,58900203
2015-07-21,-1.32,0.035234,-0.9995,130.75,132.92,"Jul 21, 15",130.32,132.85,AAPL,130.75,132.92,130.32,132.85,76756427,76756427
2015-07-22,-5.53,-0.008551,-4.2294,125.22,125.5,"Jul 22, 15",121.99,121.99,AAPL,125.22,125.5,121.99,121.99,115450607,115450607
2015-07-23,-0.06,-0.009026,-0.0479,125.16,127.09,"Jul 23, 15",125.06,126.2,AAPL,125.16,127.09,125.06,126.2,50999452,50999452
2015-07-24,-0.66,-0.014252,-0.5273,124.5,125.74,"Jul 24, 15",123.9,125.32,AAPL,124.5,125.74,123.9,125.32,42162332,42162332
2015-07-27,-1.73,-0.027949,-1.3896,122.77,123.61,"Jul 27, 15",122.12,123.09,AAPL,122.77,123.61,122.12,123.09,44455540,44455540
2015-07-28,0.61,-0.02312,0.4969,123.38,123.91,"Jul 28, 15",122.55,123.38,AAPL,123.38,123.91,122.55,123.38,33618097,33618097
2015-07-29,-0.39,-0.026207,-0.3161,122.99,123.5,"Jul 29, 15",122.27,123.15,AAPL,122.99,123.5,122.27,123.15,37011653,37011653
2015-07-30,-0.62,-0.031116,-0.5041,122.37,122.57,"Jul 30, 15",121.71,122.32,AAPL,122.37,122.57,121.71,122.32,33628268,33628268
2015-07-31,-1.07,-0.039588,-0.8744,121.3,122.64,"Jul 31, 15",120.91,122.6,AAPL,121.3,122.64,120.91,122.6,42884953,42884953
2015-08-03,-2.86,-0.062233,-2.3578,118.44,122.57,"Aug 3, 15",117.52,121.5,AAPL,118.44,122.57,117.52,121.5,69975968,69975968
2015-08-04,-3.8,-0.09232,-3.2084,114.64,117.7,"Aug 4, 15",113.25,117.42,AAPL,114.64,117.7,113.25,117.42,124138623,124138623
2015-08-05,0.76,-0.086302,0.6629,115.4,117.44,"Aug 5, 15",112.1,112.95,AAPL,115.4,117.44,112.1,112.95,99312613,99312613
2015-08-06,-0.27,-0.08844,-0.234,115.13,116.5,"Aug 6, 15",114.12,115.97,AAPL,115.13,116.5,114.12,115.97,52903040,52903040
2015-08-07,0.39,-0.085352,0.3387,115.52,116.25,"Aug 7, 15",114.5,114.58,AAPL,115.52,116.25,114.5,114.58,38670405,38670405
2015-08-10,4.2,-0.052098,3.6357,119.72,119.99,"Aug 10, 15",116.53,116.53,AAPL,119.72,119.99,116.53,116.53,54951597,54951597
2015-08-11,-6.23,-0.101425,-5.2038,113.49,118.18,"Aug 11, 15",113.33,117.81,AAPL,113.49,118.18,113.33,117.81,97082814,97082814
2015-08-12,1.75,-0.087569,1.542,115.24,115.42,"Aug 12, 15",109.63,112.53,AAPL,115.24,115.42,109.63,112.53,101685610,101685610
2015-08-13,-0.09,-0.088282,-0.0781,115.15,116.4,"Aug 13, 15",114.54,116.04,AAPL,115.15,116.4,114.54,116.04,48535789,48535789
2015-08-14,0.81,-0.081869,0.7034,115.96,116.31,"Aug 14, 15",114.01,114.32,AAPL,115.96,116.31,114.01,114.32,42929516,42929516
2015-08-17,1.2,-0.072367,1.0348,117.16,117.65,"Aug 17, 15",115.5,116.04,AAPL,117.16,117.65,115.5,116.04,40884745,40884745
2015-08-18,-0.66,-0.077593,-0.5633,116.5,117.44,"Aug 18, 15",116.01,116.43,AAPL,116.5,117.44,116.01,116.43,34560708,34560708
2015-08-19,-1.49,-0.08939,-1.279,115.01,116.52,"Aug 19, 15",114.68,116.1,AAPL,115.01,116.52,114.68,116.1,48286510,48286510
2015-08-20,-2.36,-0.108076,-2.052,112.65,114.35,"Aug 20, 15",111.63,114.08,AAPL,112.65,114.35,111.63,114.08,68501622,68501622
2015-08-21,-6.89,-0.162629,-6.1163,105.76,111.9,"Aug 21, 15",105.65,110.43,AAPL,105.76,111.9,105.65,110.43,128275471,128275471
2015-08-24,-2.64,-0.183531,-2.4962,103.12,108.8,"Aug 24, 15",92.0,94.87,AAPL,103.12,108.8,92.0,94.87,162206292,162206292
2015-08-25,0.62,-0.178622,0.6012,103.74,111.11,"Aug 25, 15",103.5,111.11,AAPL,103.74,111.11,103.5,111.11,103601599,103601599
2015-08-26,5.95,-0.131512,5.7355,109.69,109.89,"Aug 26, 15",105.05,107.09,AAPL,109.69,109.89,105.05,107.09,96774611,96774611
2015-08-27,3.23,-0.105938,2.9447,112.92,113.24,"Aug 27, 15",110.02,112.23,AAPL,112.92,113.24,110.02,112.23,84616056,84616056
2015-08-28,0.37,-0.103009,0.3277,113.29,113.31,"Aug 28, 15",111.54,112.17,AAPL,113.29,113.31,111.54,112.17,53164407,53164407
2015-08-31,-0.53,-0.107205,-0.4678,112.76,114.53,"Aug 31, 15",112.0,112.03,AAPL,112.76,114.53,112.0,112.03,56229271,56229271
2015-09-01,-5.04,-0.14711,-4.4697,107.72,111.88,"Sep 1, 15",107.36,110.15,AAPL,107.72,111.88,107.36,110.15,76845860,76845860
2015-09-02,4.62,-0.11053,4.2889,112.34,112.34,"Sep 2, 15",109.13,110.23,AAPL,112.34,112.34,109.13,110.23,61888812,61888812
2015-09-03,-1.97,-0.126128,-1.7536,110.37,112.78,"Sep 3, 15",110.04,112.49,AAPL,110.37,112.78,110.04,112.49,53233940,53233940
2015-09-04,-1.1,-0.134838,-0.9966,109.27,110.45,"Sep 4, 15",108.51,108.97,AAPL,109.27,110.45,108.51,108.97,49996311,49996311
2015-09-08,3.04,-0.110768,2.7821,112.31,112.56,"Sep 8, 15",110.32,111.65,AAPL,112.31,112.56,110.32,111.65,54843630,54843630
2015-09-09,-2.16,-0.12787,-1.9232,110.15,114.02,"Sep 9, 15",109.77,113.76,AAPL,110.15,114.02,109.77,113.76,85010804,85010804
2015-09-10,2.42,-0.108709,2.197,112.57,113.28,"Sep 10, 15",109.9,110.27,AAPL,112.57,113.28,109.9,110.27,62892831,62892831
2015-09-11,1.64,-0.095724,1.4569,114.21,114.21,"Sep 11, 15",111.76,111.79,AAPL,114.21,114.21,111.76,111.79,49915473,49915473
